base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,PatchTST,trained deep,12,12 h,MAE,24,0.20245644476148775,0.26829023782922495,-0.06583379306773712,24.53827377410667,17.93548161605465,30.765799939451483,0.0,-7.264710035637665,2.152135507582642e-07,True,True,22
Chronos2-ZS,PatchTST,trained deep,24,1 d,MASE,24,0.6563016477223401,0.8575327826027704,-0.20123113488043032,23.466290614529818,18.66595636435599,27.67695508175916,0.0,-8.122491443527574,3.301588136217504e-08,True,True,23
Chronos2-ZS,PatchTST,trained deep,24,1 d,MAE,24,0.21110794348326048,0.2819963977670513,-0.07088845428379083,25.138070856617688,19.129588502467932,30.666786810564812,0.0,-6.929572957903223,4.5964017814092983e-07,True,True,22
Chronos2-ZS,PatchTST,trained deep,48,2 d,MASE,24,0.6668431302730689,0.8576695777061031,-0.19082644743303437,22.249413106550072,18.825732210572827,25.562487609966087,0.0,-8.948687608252419,5.95292481975207e-09,True,True,24
Chronos2-ZS,PatchTST,trained deep,48,2 d,MAE,24,0.21628921618847488,0.28373768167423896,-0.06744846548576404,23.771416291193233,19.47960728322217,28.086829340350373,0.0,-8.495799125585382,1.5055925839391193e-08,True,True,24
Chronos2-ZS,PatchTST,trained deep,72,3 d,MASE,24,0.6670011520667843,0.8654530887792812,-0.19845193671249686,22.930409433561866,19.848352737403854,26.007295117323604,0.0,-10.197601167715245,5.277844827844547e-10,True,True,24
Chronos2-ZS,PatchTST,trained deep,72,3 d,MAE,24,0.2174327787558811,0.2872860196271469,-0.06985324087126575,24.314876499011167,20.79522221012806,28.051062821833646,0.0,-10.199208130273098,5.262068558664623e-10,True,True,24
Chronos2-ZS,PatchTST,trained deep,168,7 d,MASE,24,0.6652976708299781,0.868118812923635,-0.2028211420936569,23.363293027897818,21.95196785593246,24.843752863636208,0.0,-16.46613040348012,3.197442310920451e-14,True,True,24
Chronos2-ZS,PatchTST,trained deep,168,7 d,MAE,24,0.2197993179577634,0.29343606541441764,-0.07363674745665431,25.094647909982594,22.98513139486185,27.281962227693356,0.0,-10.412963607939984,3.54326790130699e-10,True,True,24
Chronos2-ZS,ETS,statistical,6,6 h,MASE,24,0.596173475223719,0.9260818146467041,-0.32990833942298503,35.624102990170854,23.440429368988774,53.94974404218961,0.0,-4.35534931514196,0.00023220504076704174,True,True,24
Chronos2-ZS,ETS,statistical,6,6 h,MAE,24,0.1958597924489299,0.2589308353525737,-0.06307104290364383,24.35825876735114,17.702518355047584,32.249201648914955,0.0,-6.486768396856748,1.2804110292030657e-06,True,True,23
Chronos2-ZS,ETS,statistical,12,12 h,MASE,24,0.627832870455817,0.9571487533015492,-0.32931588284573216,34.40592506753037,22.91846387841857,51.461730612825555,0.0,-4.4860114669920845,0.00016761812551568944,True,True,24
Chronos2-ZS,ETS,statistical,12,12 h,MAE,24,0.20245644476148775,0.2612420255584546,-0.058785580796966774,22.50234458690228,16.355530941971004,29.438236279722467,0.0,-6.770107977618825,6.628641362471654e-07,True,True,24
